Presence of fraud,auditor changes,num. commisioners,AGROW,DR,ROA,WCTA
0,0,0.6,0.0954,0.0024,0.0648,0.3619
1,0,0.6,0.036,0.0034,0.1149,0.3948
0,0,0.6,0,0.0195,0.0607,0.352
1,0,0.6,0.1121,0.0019,0.0311,0.4636
0,0,0.5,0.0231,0.0359,0.0225,0.4106
0,1,0.6667,0.0105,0.0329,0.005,0.406
0,0,0.3333,0.0015,0.3174,0.0278,0.0001
1,0,0.4444,0.0618,3610,0.0178,0.0215
1,0,0.625,0.0741,0.3979,0.0213,0.0331
1,1,0.5,0.2606,0.3177,0.0049,0.049
0,0,0.5556,-0.02,0.3047,0.0234,0.0971
1,0,0.6667,0.0222,0.3217,0.021,0.1141
1,0,0.7273,0.0542,0.3406,0.0265,0.0941
1,1,0.7273,0.0261,0.3354,0.0383,0.1257
0,0,0.7,0.026,0.3115,0.0391,0.1475
0,0,0.6364,-0.0361,0.322,0.0554,0.1118
1,0,0.5833,0.0236,0.1728,0.0271,0.0916
1,1,0.6,-0.0145,0.0016,0.1909,0.0267
1,0,0.6,0.0131,0.0018,0.0012,0.0254
1,0,0.6,0.0104,0.0016,0.0178,0.0288
0,0,0.5,0.0657,0.0047,0.0122,0.0244
0,0,0.5714,-0.0067,0.008,0.0663,0.0197
1,1,0.625,0.0242,0.0059,0.0017,0.0214
0,1,0.3636,-0.0902,0.0043,0.0648,0.036
1,1,0.4545,0.0023,0.0018,0.0199,0.0502
1,1,0.6,-0.0331,0.0643,0.0396,0.5832
1,0,0.5556,-0.0526,0.0099,0.0021,0.6193
1,0,0.5556,-0.0052,0.004,0.0243,0.6235
1,0,0.4286,-0.0248,0.1212,0.0156,0.61
1,0,0.5556,0.5628,0.1593,0.0052,0.129
1,0,0.4167,0.2857,0.1544,0.009,0.2189
1,1,0.4167,0.0505,0.2054,0.0047,0.1502
0,0,0.4167,0.076,0.2572,0.0073,0.1174
1,0,0.4167,0.5257,0.5677,0.0112,-0.0345
1,0,0.4167,0.0356,0.547,0.1636,-0.1161
0,0,0.4167,0.1926,0.483,0.043,-0.1366
0,0,0.4167,0.0013,0.4851,0.0288,-0.2213
0,0,0.4545,0.0806,0.5215,0.0066,-0.2172
1,1,0.4545,-0.0034,0.5175,0.0029,-0.3877
