M-score,Presence of fraud,auditor changes,num. commisioners,AGROW,DR,ROA,WCTA,Year/company,Sector
38.936,1,0,0.6667,0.0035,0.0009,0.068,0.0848,FAJ/2020,construction
-2.698,0,0,0.375,0.0988,0.0009,0.0211,0.136,FAJ/2021,construction
-1.95,1,0,0.3333,0.0821,0.0005,0.0261,0.2431,FAJ/2022,construction
-2.24,0,1,0.75,-0.0084,0.1718,0.001,0.3728,GDG/2012,construction
-3.095,0,0,0.6,-0.0476,0.1243,0.0207,0.3778,GDG/2013,construction
-2.401,0,1,0.6,-0.1143,0.0017,0.0228,0.3763,GDG/2014,construction
-2.443,0,1,0.6,0.1424,0.0025,0.0368,0.452,GDG/2015,construction
-1.915,1,0,0.6,0.2249,0.0014,0.0364,0.5808,GDG/2016,construction
-3.148,0,0,0.6,0.0954,0.0024,0.0648,0.3619,GDG/2017,construction
-1.864,1,0,0.6,0.036,0.0034,0.1149,0.3948,GDG/2018,construction
-3.71,0,0,0.6,0,0.0195,0.0607,0.352,GDG/2019,construction
-1.825,1,0,0.6,0.1121,0.0019,0.0311,0.4636,GDG/2020,construction
-5.459,0,0,0.5,0.0231,0.0359,0.0225,0.4106,GDG/2021,construction
-2.471,0,1,0.6667,0.0105,0.0329,0.005,0.406,GDG/2022,construction
-2.41,0,0,0.3333,0.0015,0.3174,0.0278,0.0001,IJM/2012,construction
-1.89,1,0,0.4444,0.0618,3610,0.0178,0.0215,IJM/2013,construction
-2.078,1,0,0.625,0.0741,0.3979,0.0213,0.0331,IJM/2014,construction
-2.066,1,1,0.5,0.2606,0.3177,0.0049,0.049,IJM/2015,construction
-2.983,0,0,0.5556,-0.02,0.3047,0.0234,0.0971,IJM/2016,construction
-2.092,1,0,0.6667,0.0222,0.3217,0.021,0.1141,IJM/2017,construction
-1.976,1,0,0.7273,0.0542,0.3406,0.0265,0.0941,IJM/2018,construction
-1.554,1,1,0.7273,0.0261,0.3354,0.0383,0.1257,IJM/2019,construction
-2.33,0,0,0.7,0.026,0.3115,0.0391,0.1475,IJM/2020,construction
-2.343,0,0,0.6364,-0.0361,0.322,0.0554,0.1118,IJM/2021,construction
0.437,1,0,0.5833,0.0236,0.1728,0.0271,0.0916,IJM/2022,construction
1.33,1,1,0.6,-0.0145,0.0016,0.1909,0.0267,TRC/2012,construction
-1.466,1,0,0.6,0.0131,0.0018,0.0012,0.0254,TRC/2013,construction
-0.579,1,0,0.6,0.0104,0.0016,0.0178,0.0288,TRC/2014,construction
-2.694,0,0,0.5,0.0657,0.0047,0.0122,0.0244,TRC/2015,construction
-2.824,0,0,0.5714,-0.0067,0.008,0.0663,0.0197,TRC/2016,construction
-0.836,1,1,0.625,0.0242,0.0059,0.0017,0.0214,TRC/2017,construction
-3.903,0,1,0.3636,-0.0902,0.0043,0.0648,0.036,TRC/2018,construction
-2.064,1,1,0.4545,0.0023,0.0018,0.0199,0.0502,TRC/2019,construction
0.044,1,1,0.6,-0.0331,0.0643,0.0396,0.5832,TRC/2020,construction
-1.733,1,0,0.5556,-0.0526,0.0099,0.0021,0.6193,TRC/2021,construction
-2.084,1,0,0.5556,-0.0052,0.004,0.0243,0.6235,TRC/2022,construction
5.192,1,0,0.4286,-0.0248,0.1212,0.0156,0.61,EKO/2012,construction
-1.36,1,0,0.5556,0.5628,0.1593,0.0052,0.129,EKO/2013,construction
2.692,1,0,0.4167,0.2857,0.1544,0.009,0.2189,EKO/2014,construction
-1.464,1,1,0.4167,0.0505,0.2054,0.0047,0.1502,EKO/2015,construction
-2.368,0,0,0.4167,0.076,0.2572,0.0073,0.1174,EKO/2016,construction
-1.791,1,0,0.4167,0.5257,0.5677,0.0112,-0.0345,EKO/2017,construction
-2.124,1,0,0.4167,0.0356,0.547,0.1636,-0.1161,EKO/2018,construction
-2.554,0,0,0.4167,0.1926,0.483,0.043,-0.1366,EKO/2019,construction
-2.543,0,0,0.4167,0.0013,0.4851,0.0288,-0.2213,EKO/2020,construction
-3.18,0,0,0.4545,0.0806,0.5215,0.0066,-0.2172,EKO/2021,construction
0.632,1,1,0.4545,-0.0034,0.5175,0.0029,-0.3877,EKO/2022,construction
